facebook_107
8 10.306344673723546 27.9
6 9.008211338261649 25.33333333333333
12 7.925142253817274 29.100000000000005
11 8.174457732602354 31.222222222222225
7 8.500923490046583 27.88888888888889
12 14.987344630713237 28.777777777777786
10 9.19921517896 32.00000000000001
9 19.750164033393755 21.91666666666666
9 9.259779828965765 27.090909090909086
7 7.547163176189253 26.999999999999996
2 0.001
9.1 2.0223748416156684
10.465874633667342 3.686961696904566
27.822979797979798 2.7175566289833735
facebook_348
12 22.616072343377713 42.5
12 21.413774273342177 42.75000000000001
12 21.831929688593828 35.16666666666667
11 22.260950053904484 43.5
10 18.78616989344225 37.25
11 21.83107790531128 42.75000000000001
13 21.31951253254509 43.0
11 23.04020144771479 42.75
10 21.917268578026516 42.75
11 23.737666111844824 43.75
5 0.001
11.3 0.8999999999999999
21.875462282810297 1.2487233777970574
41.61666666666667 2.767670500619609
facebook_414
7 43.40171519255552 55.199999999999996
6 45.06704750175968 55.400000000000006
11 50.385439675429325 61.8
9 50.31679531607178 61.4
8 48.98763669597081 61.0
5 47.28935462632591 59.8
4 43.31764183064188 54.79999999999999
8 45.067047501759674 55.400000000000006
12 50.0773520490835 61.19999999999999
10 51.05618133489802 61.39999999999999
3 0.001
8.0 2.449489742783178
47.496621172449615 2.89712204488843
58.739999999999995 2.93537050472338
facebook_686
16 14.219263160246113 13.0
10 12.30218018543104 14.666666666666666
13 12.507578815137506 17.099999999999998
12 14.761261250358295 16.599999999999998
11 12.995471442336973 12.769230769230772
12 13.641831502977123 15.307692307692308
12 15.320722207753148 14.899999999999999
10 15.08527056178022 16.666666666666668
15 8.215705095758025 18.0
11 13.690887742218699 18.11111111111111
1 0.001
12.2 1.8867962264113207
13.274017196399715 1.95141224230463
15.712136752136752 1.8040931132923497
facebook_698
16 43.000103993914045 64.5
12 43.05815690817243 63.375
14 42.79089205467448 66.5
18 41.75536663813834 63.625
17 44.32115865478487 66.75
14 43.408399878995795 64.375
16 43.583443590888855 66.25000000000001
16 44.22019019740699 64.75
11 39.50626947467858 64.125
13 43.40839987899581 64.375
2 0.001
14.7 2.147091055358389
42.90523812706501 1.32743689447067
64.8625 1.1435279839164425
